id,quote,author,quote type,date of Birth,location of Birth
1,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change,deep-thoughts,thinking,world","March 14, 1879","in Ulm, Germany"
2,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities,choices","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
3,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational,life,live,miracle,miracles","March 14, 1879","in Ulm, Germany"
4,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy,books,classic,humor","December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom"
5,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself,inspirational","June 01, 1926",in The United States
6,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood,success,value","March 14, 1879","in Ulm, Germany"
7,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life,love","November 22, 1869","in Paris, France"
8,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison,failure,inspirational,paraphrased","February 11, 1847","in Milan, Ohio, The United States"
9,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,"October 11, 1884",in The United States
10,"“A day without sunshine is like, you know, night.”",Steve Martin,"humor,obvious,simile","August 14, 1945","in Waco, Texas, The United States"
11,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling,"courage,friends","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
12,"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,"simplicity,understand","March 14, 1879","in Ulm, Germany"
13,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss,fantasy,"March 02, 1904","in Springfield, MA, The United States"
14,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams,"life,navigation","March 11, 1952","in Cambridge, England, The United Kingdom"
15,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy","September 30, 1928","in Sighet, Romania"
16,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage","October 15, 1844","in Röcken bei Lützen, Prussian Province of Saxony, Germany"
17,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,"books,contentment,friends,friendship,life","November 30, 1835","in Florida, Missouri, The United States"
18,“Life is what happens to us while we are making other plans.”,Allen Saunders,"fate,life,misattributed-john-lennon,planning,plans","April 24, 1899",in The United States
19,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda,"love,poetry","July 12, 1904","in Parral, Chile"
20,“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,happiness,"May 25, 1803","in Boston, Massachusetts, The United States"
21,"“If you judge people, you have no time to love them.”",Mother Teresa,attributed-no-source,"August 26, 1910","in Skopje, Macedonia, the Former Yugoslav Republic of"
22,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,"humor,religion","August 07, 1942","in Anoka, Minnesota, The United States"
23,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,humor,"September 24, 1936","in Greenville, Mississippi, The United States"
24,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss,"comedy,life,yourself","March 02, 1904","in Springfield, MA, The United States"
25,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,"children,fairy-tales","March 14, 1879","in Ulm, Germany"
26,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",J.K. Rowling,,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
27,“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,imagination,"March 14, 1879","in Ulm, Germany"
28,"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,music,"February 06, 1945","in Nine Mile, Saint Ann, Jamaica"
29,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss,"learning,reading,seuss","March 02, 1904","in Springfield, MA, The United States"
30,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",J.K. Rowling,dumbledore,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
31,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,friendship,"February 06, 1945","in Nine Mile, Saint Ann, Jamaica"
32,“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa,"misattributed-to-mother-teresa,paraphrased","August 26, 1910","in Skopje, Macedonia, the Former Yugoslav Republic of"
33,"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,"death,inspirational","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
34,“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,"chocolate,food,humor","November 26, 1922","in Minneapolis, MN, The United States"
35,“We read to know we're not alone.”,William Nicholson,"misattributed-to-c-s-lewis,reading","January 12, 1948","in Lewes, Sussex, The United Kingdom"
36,“Any fool can know. The point is to understand.”,Albert Einstein,"knowledge,learning,understanding,wisdom","March 14, 1879","in Ulm, Germany"
37,“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,"books,library","August 24, 1899","in Buenos Aires, Argentina"
38,“It is never too late to be what you might have been.”,George Eliot,inspirational,"November 22, 1819","in South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom"
